ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;90218;91897;25/05/2020;;;1991606;1;588430;SO;;1319,4;0,04;52,776;Apuração Faturamento                                                  ; 
20;5;90218;20226;08/05/2020;;;1986493;1;581943;SO;;270,87;0,04;10,8348;Apuração Faturamento                                                  ; 
20;5;90218;96030;25/05/2020;;;1991870;1;588936;SO;;1007,84;0,04;40,3136;Apuração Faturamento                                                  ; 
20;5;90218;98891;22/05/2020;;;1990712;1;587982;SO;;1347;0,04;53,88;Apuração Faturamento                                                  ; 
20;5;90218;93847;16/09/2019;14/01/2020;;1805827;1;25110901;RI;3;-29,49;0,04;-1,1796;Desconto Inadimplencia                                                ; 
20;5;90218;96590;25/05/2020;;;1991622;1;588824;SO;;3331,2;0,04;133,248;Apuração Faturamento                                                  ; 
20;5;90218;96430;25/05/2020;;;1991904;1;588937;SO;;1762,54;0,04;70,5016;Apuração Faturamento                                                  ; 
20;5;134286;86028;09/01/2020;08/05/2020;28/05/2020;1905312;1;32263501;RI;3;302,1;0,09;27,189;Parcelas Pagas no Mês                                                 ; 
20;5;134286;92336;31/12/2019;29/04/2020;06/05/2020;1898655;1;31942001;RI;4;98,25;0,1;9,825;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89233;23/03/2020;22/05/2020;20/05/2020;1974148;1;36062101;RI;2;585,65;0,08;46,852;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89234;02/03/2020;01/05/2020;05/05/2020;1955319;1;35198401;RI;2;264,64;0,08;21,1712;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89234;02/03/2020;31/05/2020;26/05/2020;1955319;1;35198401;RI;3;264,63;0,08;21,1704;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89234;23/03/2020;22/05/2020;20/05/2020;1973958;1;36033501;RI;2;737,12;0,08;58,9696;Parcelas Pagas no Mês                                                 ; 
20;5;134286;89234;23/03/2020;06/07/2020;28/05/2020;1973958;1;36033501;RI;1;730,48;0,08;58,4384;Parcelas Pagas no Mês                                                 ; 
20;5;134286;88188;23/03/2020;22/05/2020;25/05/2020;1974610;1;36081701;RI;1;46,33;0,08;3,7064;Parcelas Pagas no Mês                                                 ; 
20;5;134286;87559;04/02/2020;04/05/2020;05/05/2020;1926394;1;33604901;RI;2;126,5;0,1;12,65;Parcelas Pagas no Mês                                                 ; 
20;5;134286;82961;17/01/2020;16/05/2020;19/05/2020;1911951;1;32570801;RI;3;1015,29;0,06;60,9174;Parcelas Pagas no Mês                                                 ; 
20;5;134286;82961;20/01/2020;04/05/2020;05/05/2020;1912262;1;32598901;RI;3;277,2;0,06;16,632;Parcelas Pagas no Mês                                                 ; 
20;5;134286;82961;10/03/2020;09/05/2020;12/05/2020;1963972;1;35594901;RI;1;135,75;0,06;8,145;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91981;04/03/2020;03/05/2020;05/05/2020;1958315;1;35303201;RI;2;131,41;0,08;10,5128;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91981;23/01/2020;22/05/2020;08/05/2020;1916745;1;32887301;RI;3;496,4;0,08;39,712;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91981;20/02/2020;20/05/2020;08/05/2020;1945144;1;34653101;RI;2;89,82;0,08;7,1856;Parcelas Pagas no Mês                                                 ; 
20;5;134286;83544;09/01/2020;08/05/2020;11/05/2020;1904210;1;32209801;RI;4;1014,05;0,08;81,124;Parcelas Pagas no Mês                                                 ; 
20;5;134286;84431;05/02/2020;05/05/2020;06/05/2020;1928821;1;33775601;RI;2;646,8;0,09;58,212;Parcelas Pagas no Mês                                                 ; 
20;5;134286;84431;02/03/2020;01/05/2020;05/05/2020;1955320;1;35198501;RI;2;242,53;0,08;19,4024;Parcelas Pagas no Mês                                                 ; 
20;5;134286;84431;06/03/2020;05/05/2020;06/05/2020;1960915;1;35428801;RI;2;383,22;0,09;34,4898;Parcelas Pagas no Mês                                                 ; 
20;5;134286;86572;21/10/2019;18/05/2020;19/05/2020;1839344;1;27489101;RI;7;437,92;0,09;39,4128;Parcelas Pagas no Mês                                                 ; 
20;5;134286;107517;07/05/2020;27/05/2020;26/05/2020;1985949;1;36565101;RI;1;413,1;0,08;33,048;Parcelas Pagas no Mês                                                 ; 
20;5;134286;107517;05/05/2020;25/05/2020;26/05/2020;1985826;1;36557201;RI;1;1207;0,08;96,56;Parcelas Pagas no Mês                                                 ; 
20;5;134286;84031;03/02/2020;02/06/2020;28/05/2020;1925573;1;33545601;RI;4;365,94;0,09;32,9346;Parcelas Pagas no Mês                                                 ; 
20;5;134286;84031;03/02/2020;03/05/2020;04/05/2020;1925573;1;33545601;RI;3;365,95;0,09;32,9355;Parcelas Pagas no Mês                                                 ; 
20;5;134286;91984;22/01/2020;21/05/2020;08/05/2020;1916183;1;32862101;RI;3;534,23;0,08;42,7384;Parcelas Pagas no Mês                                                 ; 
